,Idade,Genero,UF,Regiao_origem,Nivel Ensino,Area Formacao,Situacao Trabalho,Setor,Trabalha como Gestao,Cargo como Gestor(a),Cargo Atual,Nivel,Faixa Salarial,Insatisfacao com a Empresa,Tempo XP em Dados,Tempo XP em Software,Criterios de escolha trabalho,Forma de trabalho atual,Forma de trabalho desejada,Faixa Salarial_number
206,33.0,Masculino,PR,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Seguros ou Previdência,1.0,Supervisor/Coordenador,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 4 a 5 anos,de 6 a 10 anos,"Remuneração/Salário, Propósito do trabalho e da empresa, Qualidade dos gestores e líderes",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),16000.0
207,36.0,Masculino,SP,,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Indústria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
208,38.0,Masculino,MG,,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,Mais de 10 anos,Mais de 10 anos,"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20000.0
209,29.0,Masculino,RJ,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Educação,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,16000.0
210,25.0,Masculino,SC,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,1.0,Team Leader/Tech Leader,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,de 1 a 2 anos,de 2 a 3 anos,"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo 100% remoto,16000.0
211,29.0,Masculino,MG,,Pós-graduação,Outras Engenharias,Empregado (CLT),Agronegócios,1.0,Supervisor/Coordenador,,Gestor,de R$ 16.001/mês a R$ 20.000/mês,,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),20000.0
212,54.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Team Leader/Tech Leader,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,Mais de 10 anos,de 6 a 10 anos,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Ambiente e clima de trabalho",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),25000.0
213,31.0,Masculino,SP,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,1.0,Team Leader/Tech Leader,,Gestor,de R$ 20.001/mês a R$ 25.000/mês,,de 6 a 10 anos,Mais de 10 anos,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Flexibilidade de trabalho remoto",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),25000.0
214,47.0,Masculino,SP,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 30.001/mês a R$ 40.000/mês,,Mais de 10 anos,Mais de 10 anos,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial,40000.0
215,36.0,Masculino,SP,Sudeste,Doutorado ou Phd,Outras Engenharias,Empregado (CLT),Educação,1.0,Team Leader/Tech Leader,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Menos de 1 ano,"Propósito do trabalho e da empresa, Remuneração/Salário, Benefícios",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,8000.0
